metric,value,scope
temperature_mean_c,25.47638888888889,current
dew_point_mean_c,8.769444444444446,current
precipitation_total_mm,0.0,current
wind_speed_mean_ms,4.713611111111111,current
wind_gust_max_ms,9.4,current
pressure_mean_hpa,1017.7055555555554,current
pressure_range_hpa,9.899999999999977,current
cloud_cover_mean_pct,6.319444444444445,current
shortwave_total_wh_m2,19788.0,current
sunshine_total_s,145336.49,current
frost_hours,0.0,current
cooling_degree_days_c,22.55,current
heating_degree_days_c,0.12083333333333328,current
temperature_mean_c,23.766666666666666,baseline_mean
precipitation_total_mm,4.470000000000001,baseline_mean
wind_speed_mean_ms,3.8526666666666665,baseline_mean
pressure_mean_hpa,1015.2666666666668,baseline_mean
cloud_cover_mean_pct,40.06666666666667,baseline_mean
shortwave_total_wh_m2,16128.333334623603,baseline_mean
et0_total_mm,13.460999999999999,baseline_mean
water_balance_mm,-8.991,baseline_mean
