metric,value,scope
temperature_mean_c,28.670833333333334,current
dew_point_mean_c,10.794444444444444,current
precipitation_total_mm,0.0,current
wind_speed_mean_ms,3.8076388888888886,current
wind_gust_max_ms,7.2,current
pressure_mean_hpa,1017.1486111111111,current
pressure_range_hpa,10.0,current
cloud_cover_mean_pct,1.125,current
shortwave_total_wh_m2,22170.0,current
sunshine_total_s,158436.29,current
frost_hours,0.0,current
cooling_degree_days_c,32.0125,current
heating_degree_days_c,0.0,current
temperature_mean_c,23.70291666666667,baseline_mean
dew_point_mean_c,15.635555555555555,baseline_mean
precipitation_total_mm,6.389999999999999,baseline_mean
wind_speed_mean_ms,3.9443472222222224,baseline_mean
wind_gust_max_ms,10.29,baseline_mean
pressure_mean_hpa,1013.1343055555556,baseline_mean
pressure_range_hpa,6.579999999999996,baseline_mean
cloud_cover_mean_pct,37.70833333333333,baseline_mean
shortwave_total_wh_m2,18137.6,baseline_mean
sunshine_total_s,140021.771,baseline_mean
frost_hours,0.0,baseline_mean
cooling_degree_days_c,17.48166666666667,baseline_mean
heating_degree_days_c,0.3729166666666666,baseline_mean
