metric,value,scope
temperature_mean_c,30.400000000000002,current
dew_point_mean_c,12.39722222222222,current
precipitation_total_mm,0.7999999999999999,current
wind_speed_mean_ms,4.649444444444445,current
wind_gust_max_ms,13.9,current
pressure_mean_hpa,1014.3694444444445,current
pressure_range_hpa,4.5,current
cloud_cover_mean_pct,15.680555555555555,current
shortwave_total_wh_m2,20309.0,current
sunshine_total_s,153068.49,current
frost_hours,0.0,current
cooling_degree_days_c,37.2,current
heating_degree_days_c,0.0,current
temperature_mean_c,23.243333333333336,baseline_mean
precipitation_total_mm,5.9,baseline_mean
wind_speed_mean_ms,5.179,baseline_mean
pressure_mean_hpa,1013.4766666666667,baseline_mean
cloud_cover_mean_pct,46.266666666666666,baseline_mean
shortwave_total_wh_m2,16323.055556861402,baseline_mean
et0_total_mm,14.043000000000001,baseline_mean
water_balance_mm,-8.143,baseline_mean
