metric,value,scope
temperature_mean_c,24.586111111111112,current
dew_point_mean_c,9.009722222222221,current
precipitation_total_mm,0.0,current
wind_speed_mean_ms,7.101944444444445,current
wind_gust_max_ms,14.7,current
pressure_mean_hpa,1020.3611111111111,current
pressure_range_hpa,10.0,current
cloud_cover_mean_pct,9.88888888888889,current
shortwave_total_wh_m2,20491.0,current
sunshine_total_s,148243.8,current
frost_hours,0.0,current
cooling_degree_days_c,20.104166666666668,current
heating_degree_days_c,0.34583333333333327,current
temperature_mean_c,23.526666666666667,baseline_mean
precipitation_total_mm,5.55,baseline_mean
wind_speed_mean_ms,4.342666666666667,baseline_mean
pressure_mean_hpa,1017.2566666666668,baseline_mean
cloud_cover_mean_pct,29.833333333333336,baseline_mean
shortwave_total_wh_m2,17809.444445869198,baseline_mean
et0_total_mm,15.087,baseline_mean
water_balance_mm,-9.537,baseline_mean
