metric,value,scope
temperature_mean_c,24.52638888888889,current
dew_point_mean_c,11.674999999999999,current
precipitation_total_mm,0.0,current
wind_speed_mean_ms,5.241527777777778,current
wind_gust_max_ms,13.2,current
pressure_mean_hpa,1017.4027777777778,current
pressure_range_hpa,5.5,current
cloud_cover_mean_pct,11.527777777777779,current
shortwave_total_wh_m2,20806.0,current
sunshine_total_s,150906.16,current
frost_hours,0.0,current
cooling_degree_days_c,19.75,current
heating_degree_days_c,0.17083333333333325,current
temperature_mean_c,23.930000000000003,baseline_mean
precipitation_total_mm,1.69,baseline_mean
wind_speed_mean_ms,3.7443333333333335,baseline_mean
pressure_mean_hpa,1017.0133333333333,baseline_mean
cloud_cover_mean_pct,36.733333333333334,baseline_mean
shortwave_total_wh_m2,17807.2222236468,baseline_mean
et0_total_mm,14.579999999999998,baseline_mean
water_balance_mm,-12.89,baseline_mean
