metric,value,scope
temperature_mean_c,30.44583333333334,current
dew_point_mean_c,11.975000000000001,current
precipitation_total_mm,0.0,current
wind_speed_mean_ms,4.480555555555556,current
wind_gust_max_ms,12.0,current
pressure_mean_hpa,1015.4847222222221,current
pressure_range_hpa,3.6000000000000227,current
cloud_cover_mean_pct,6.375,current
shortwave_total_wh_m2,20698.0,current
sunshine_total_s,155943.26,current
frost_hours,0.0,current
cooling_degree_days_c,37.3375,current
heating_degree_days_c,0.0,current
temperature_mean_c,23.603333333333335,baseline_mean
precipitation_total_mm,4.040000000000001,baseline_mean
wind_speed_mean_ms,3.8486666666666673,baseline_mean
pressure_mean_hpa,1012.9366666666665,baseline_mean
cloud_cover_mean_pct,47.86666666666666,baseline_mean
shortwave_total_wh_m2,17170.5555569292,baseline_mean
et0_total_mm,13.876,baseline_mean
water_balance_mm,-9.836000000000002,baseline_mean
