metric,value,scope
temperature_mean_c,22.78472222222222,current
dew_point_mean_c,8.315277777777778,current
precipitation_total_mm,0.0,current
wind_speed_mean_ms,5.565972222222222,current
wind_gust_max_ms,11.2,current
pressure_mean_hpa,1016.7305555555556,current
pressure_range_hpa,8.699999999999932,current
cloud_cover_mean_pct,38.15277777777778,current
shortwave_total_wh_m2,16110.0,current
sunshine_total_s,126829.37999999999,current
frost_hours,0.0,current
cooling_degree_days_c,15.399999999999999,current
heating_degree_days_c,1.0458333333333334,current
temperature_mean_c,22.373333333333335,baseline_mean
precipitation_total_mm,4.159999999999999,baseline_mean
wind_speed_mean_ms,4.391,baseline_mean
pressure_mean_hpa,1015.8866666666665,baseline_mean
cloud_cover_mean_pct,41.5,baseline_mean
shortwave_total_wh_m2,15824.722223488201,baseline_mean
et0_total_mm,13.106,baseline_mean
water_balance_mm,-8.946,baseline_mean
